Transcript_8,gi|157168325|ref|NM_138652.2|,Transcript_8,NM_138652.2,100.000,3954,0,0,1,3954,1,3954,0.0,7302
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,206,0,0,430,635,49091,49296,6.26e-103,381
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,199,0,0,1270,1468,52745,52943,4.87e-99,368
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,198,0,0,1711,1908,56598,56795,1.75e-98,366
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,179,0,0,1906,2084,58265,58443,6.39e-88,331
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,174,0,0,2368,2541,62382,62555,3.85e-85,322
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,157,0,0,2538,2694,62642,62798,1.09e-75,291
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,154,0,0,2218,2371,60813,60966,5.05e-74,285
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,99.355,155,1,0,219,373,44263,44417,6.53e-73,281
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,147,0,0,2818,2964,64429,64575,3.93e-70,272
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,99.301,143,1,0,742,884,50891,51033,3.06e-66,259
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,99.296,142,1,0,2078,2219,59076,59217,1.10e-65,257
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,137,0,0,1577,1713,54454,54590,1.42e-64,254
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,135,0,0,2964,3098,65165,65299,1.84e-63,250
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,126,0,0,2695,2820,64111,64236,1.85e-58,233
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,97.744,133,2,1,883,1014,51161,51293,8.63e-57,228
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,114,0,0,634,747,50057,50170,8.69e-52,211
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,99.115,113,1,0,1466,1578,53075,53187,1.45e-49,204
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,106,0,0,3096,3201,65465,65570,2.43e-47,196
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,96,0,0,3198,3293,65955,66050,8.81e-42,178
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,62,0,0,372,433,46700,46761,7.01e-23,115
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,659,0,0,3293,3951,30118,30776,0.0,1218
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,273,0,0,999,1271,15412,15684,3.56e-140,505
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,222,0,0,1,222,7305,7526,7.98e-112,411
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,206,0,0,430,635,12999,13204,6.26e-103,381
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,199,0,0,1270,1468,16653,16851,4.87e-99,368
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,198,0,0,1711,1908,20507,20704,1.75e-98,366
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,179,0,0,1906,2084,22173,22351,6.39e-88,331
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,174,0,0,2368,2541,26290,26463,3.85e-85,322
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,157,0,0,2538,2694,26550,26706,1.09e-75,291
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,154,0,0,2218,2371,24721,24874,5.05e-74,285
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,99.355,155,1,0,219,373,8181,8335,6.53e-73,281
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,147,0,0,2818,2964,28336,28482,3.93e-70,272
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,99.301,143,1,0,742,884,14799,14941,3.06e-66,259
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,99.296,142,1,0,2078,2219,22984,23125,1.10e-65,257
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,135,0,0,2964,3098,29072,29206,1.84e-63,250
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,99.270,137,1,0,1577,1713,18363,18499,6.62e-63,248
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,126,0,0,2695,2820,28018,28143,1.85e-58,233
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,97.744,133,2,1,883,1014,15069,15201,8.63e-57,228
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,114,0,0,634,747,13965,14078,8.69e-52,211
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,99.115,113,1,0,1466,1578,16983,17095,1.45e-49,204
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,106,0,0,3096,3201,29372,29477,2.43e-47,196
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,96,0,0,3198,3293,29862,29957,8.81e-42,178
Transcript_8,gi|18389604|gb|AF350499.1|AF350499,Transcript_8,AF350499.1,100.000,62,0,0,372,433,10620,10681,7.01e-23,115
Transcript_8,gi|3885965|gb|AF100169.1|AF100169,Transcript_8,AF100169.1,96.471,340,12,0,2815,3154,1,340,5.75e-163,580
Transcript_8,gi|74223508|dbj|AK133326.1|,Transcript_8,AK133326.1,100.000,198,0,0,1711,1908,1327,1130,1.75e-98,366
Transcript_8,gi|74223508|dbj|AK133326.1|,Transcript_8,AK133326.1,100.000,179,0,0,1906,2084,972,794,6.39e-88,331
Transcript_8,gi|74223508|dbj|AK133326.1|,Transcript_8,AK133326.1,100.000,106,0,0,3096,3201,664,559,2.43e-47,196
Transcript_8,gi|74223508|dbj|AK133326.1|,Transcript_8,AK133326.1,100.000,90,0,0,3198,3287,174,85,1.91e-38,167




